source_node_id,target_node_id
37e17dd391be,602346ca4d03
438f9a1f401f,8fe3ccce5b0a
8713fae19f14,b4dc91932bd0
555ceb831ee4,b4dc91932bd0
438f9a1f401f,a43a9cd019a2
438f9a1f401f,9afdab652f35
1acadb43ff17,659dec18b47f
438f9a1f401f,c02c93fca352
b4dc91932bd0,0a2dff5ceefe
659dec18b47f,0a2dff5ceefe
9afdab652f35,0a2dff5ceefe
a43a9cd019a2,0a2dff5ceefe
602346ca4d03,e54858131022
c02c93fca352,e54858131022
602346ca4d03,d451ac48422d
a43a9cd019a2,d451ac48422d
659dec18b47f,d451ac48422d
9afdab652f35,d451ac48422d
602346ca4d03,6c2f212431ba
659dec18b47f,6c2f212431ba
b4dc91932bd0,f3a7feb2b2e6
a43a9cd019a2,f3a7feb2b2e6
602346ca4d03,f3a7feb2b2e6
9afdab652f35,0cf82940e4ad
602346ca4d03,0cf82940e4ad
b4dc91932bd0,0cf82940e4ad
8fe3ccce5b0a,0cf82940e4ad
a43a9cd019a2,4f5b376e0a1b
602346ca4d03,4f5b376e0a1b
8fe3ccce5b0a,6f6a5d0b7935
9afdab652f35,6f6a5d0b7935
602346ca4d03,6f6a5d0b7935
d451ac48422d,bfa1fad7a697
6f6a5d0b7935,bfa1fad7a697
f3a7feb2b2e6,bfa1fad7a697
6c2f212431ba,285cdb61677b
0cf82940e4ad,285cdb61677b
d451ac48422d,285cdb61677b
0cf82940e4ad,54c1ef19ad4e
0a2dff5ceefe,7673371d6c60
285cdb61677b,737938626d13
54c1ef19ad4e,737938626d13
bfa1fad7a697,737938626d13
7673371d6c60,737938626d13
782a04b1322d,094ac28ab2ce
1866db6b7952,094ac28ab2ce
953cca93fd25,5a1f4aeeda9b
1866db6b7952,2740329ac1d4
ad7860516a2f,ed9c9a803ab9
953cca93fd25,7859657f1121
dcf7f00e8b78,6ed56507c557
782a04b1322d,6ed56507c557
094ac28ab2ce,78d1c18e6176
7859657f1121,78d1c18e6176
5a1f4aeeda9b,9c5368877d9d
2740329ac1d4,9c5368877d9d
6ed56507c557,9c5368877d9d
7859657f1121,25f32e142c87
094ac28ab2ce,25f32e142c87
78d1c18e6176,73002caef30d
9c5368877d9d,73002caef30d
25f32e142c87,aa9d09a5c65f
9c5368877d9d,aa9d09a5c65f
78d1c18e6176,aa9d09a5c65f
aa9d09a5c65f,4fd09c230638
f1d2ec35fd21,b783238a17cd
fc07371eb566,b783238a17cd
0a2e16a46491,93dd73c50c41
fc07371eb566,93dd73c50c41
fc07371eb566,ab7474e1548a
d9a911168c28,ab7474e1548a
6f682266daf5,7ecae93f1fff
0a2e16a46491,7ecae93f1fff
a2d81b321b9c,7d492640179e
d9a911168c28,7d492640179e
d9a911168c28,dc6cd591a9f4
f1d2ec35fd21,dc6cd591a9f4
6f682266daf5,a6030c2b3f83
a6030c2b3f83,39560897c299
7d492640179e,39560897c299
ab7474e1548a,39560897c299
ab7474e1548a,ef1342c17c0f
b783238a17cd,ef1342c17c0f
7d492640179e,721f52362d2a
b783238a17cd,721f52362d2a
7ecae93f1fff,721f52362d2a
721f52362d2a,458dd679122a
39560897c299,458dd679122a
ef1342c17c0f,458dd679122a
39560897c299,155daa3009af
ef1342c17c0f,155daa3009af
721f52362d2a,155daa3009af
155daa3009af,ecfc7284387a
155daa3009af,afa25b83fa76
b7165064f93d,d8225b5b262f
96c16a7fc2c1,d8225b5b262f
8b34a9f649c7,c12b219dad7f
3edd671fe3cd,c12b219dad7f
0877a706f35f,aae28c7991df
3edd671fe3cd,97a4b012166c
d8225b5b262f,bf45bfff37fc
97a4b012166c,bf45bfff37fc
96c16a7fc2c1,bf45bfff37fc
97a4b012166c,a5c70d9aff52
aae28c7991df,a5c70d9aff52
c12b219dad7f,a5c70d9aff52
d8225b5b262f,a5c70d9aff52
aae28c7991df,00c8e7127d6e
97a4b012166c,00c8e7127d6e
c12b219dad7f,00c8e7127d6e
a5c70d9aff52,9fb0a29a3999
c12b219dad7f,9fb0a29a3999
bf45bfff37fc,9fb0a29a3999
bf45bfff37fc,079f82d42e20
00c8e7127d6e,079f82d42e20
a5c70d9aff52,079f82d42e20
079f82d42e20,4487459bd9f0
9fb0a29a3999,4487459bd9f0
9fb0a29a3999,e5064c3db0cc
079f82d42e20,e5064c3db0cc
71f2dc3619fb,e2d0e040693d
71f2dc3619fb,db1084eb83a3
6bb6c8366004,db1084eb83a3
6bb6c8366004,4a48104369fb
db1084eb83a3,77a385cd7e72
e2d0e040693d,77a385cd7e72
db1084eb83a3,67c3afb1f709
6bb6c8366004,67c3afb1f709
e2d0e040693d,67c3afb1f709
77a385cd7e72,316793279d22
67c3afb1f709,316793279d22
77a385cd7e72,c85b525062ea
67c3afb1f709,c85b525062ea
316793279d22,14454dfbe8b9
c85b525062ea,14454dfbe8b9
316793279d22,aceff73b2d73
c85b525062ea,aceff73b2d73
3df390f7178e,04ca7b8d2db2
e6de81a9f44f,04ca7b8d2db2
e6de81a9f44f,bc88a0f1d0ca
bc88a0f1d0ca,74ad874d5f5a
04ca7b8d2db2,74ad874d5f5a
04ca7b8d2db2,e6512c841e78
bc88a0f1d0ca,e6512c841e78
e6512c841e78,0e5662daa79a
74ad874d5f5a,0e5662daa79a
e6512c841e78,beed0ab7bdf6
74ad874d5f5a,beed0ab7bdf6
e6512c841e78,d6179f03a114
0e5662daa79a,63c496e754fc
d6179f03a114,63c496e754fc
d6179f03a114,af2712922c63
0e5662daa79a,af2712922c63
beed0ab7bdf6,af2712922c63
0a2dff5ceefe,aa9d09a5c65f
6f6a5d0b7935,458dd679122a
78d1c18e6176,155daa3009af
721f52362d2a,9fb0a29a3999
aae28c7991df,39560897c299
ef1342c17c0f,d6179f03a114
67c3afb1f709,beed0ab7bdf6
