node_id,layer,domain,has_steward,has_tests,test_count,has_documentation
666cf4aad0e2,source,domain_1,True,True,3,True
1b3496171fd3,source,domain_1,True,True,4,True
8713fae19f14,source,domain_1,True,True,3,True
438f9a1f401f,source,domain_1,True,True,4,True
1acadb43ff17,source,domain_1,True,True,3,True
37e17dd391be,source,domain_1,True,True,3,True
fb4c131b5994,source,domain_1,True,False,0,True
555ceb831ee4,source,domain_1,True,True,1,True
602346ca4d03,staging,domain_1,False,True,3,True
8fe3ccce5b0a,staging,domain_1,True,True,5,True
b4dc91932bd0,staging,domain_1,True,True,5,True
a43a9cd019a2,staging,domain_1,True,True,4,True
9afdab652f35,staging,domain_1,True,True,2,False
659dec18b47f,staging,domain_1,True,True,4,True
c02c93fca352,staging,domain_1,False,True,3,True
0a2dff5ceefe,intermediate,domain_1,False,True,3,True
e54858131022,intermediate,domain_1,True,False,0,True
d451ac48422d,intermediate,domain_1,True,False,0,True
6c2f212431ba,intermediate,domain_1,False,True,3,False
f3a7feb2b2e6,intermediate,domain_1,True,False,0,True
0cf82940e4ad,intermediate,domain_1,False,False,0,True
4f5b376e0a1b,intermediate,domain_1,True,True,1,True
6f6a5d0b7935,intermediate,domain_1,True,True,3,False
bfa1fad7a697,mart,domain_1,True,True,7,True
285cdb61677b,mart,domain_1,True,True,5,True
54c1ef19ad4e,mart,domain_1,True,True,3,True
7673371d6c60,mart,domain_1,True,True,8,True
737938626d13,exposure,domain_1,True,True,1,True
dcf7f00e8b78,source,domain_2,True,True,4,True
782a04b1322d,source,domain_2,True,True,2,True
ad7860516a2f,source,domain_2,True,True,4,True
953cca93fd25,source,domain_2,True,True,3,True
216553de8a90,source,domain_2,True,True,2,True
1866db6b7952,source,domain_2,True,True,5,True
094ac28ab2ce,staging,domain_2,False,True,6,True
5a1f4aeeda9b,staging,domain_2,True,True,6,True
2740329ac1d4,staging,domain_2,True,True,2,True
ed9c9a803ab9,staging,domain_2,True,False,0,True
7859657f1121,staging,domain_2,True,True,4,True
6ed56507c557,staging,domain_2,True,True,4,True
78d1c18e6176,intermediate,domain_2,True,True,4,False
9c5368877d9d,intermediate,domain_2,True,True,4,True
25f32e142c87,intermediate,domain_2,True,True,2,False
73002caef30d,mart,domain_2,True,True,4,True
aa9d09a5c65f,mart,domain_2,True,True,4,False
4fd09c230638,exposure,domain_2,True,True,1,True
a2d81b321b9c,source,domain_3,True,True,1,False
fc07371eb566,source,domain_3,True,False,0,False
f1d2ec35fd21,source,domain_3,False,True,3,False
d9a911168c28,source,domain_3,True,True,4,True
8262809e9a65,source,domain_3,False,False,0,False
0a2e16a46491,source,domain_3,False,True,4,False
6f682266daf5,source,domain_3,True,True,1,True
b783238a17cd,staging,domain_3,False,True,3,False
93dd73c50c41,staging,domain_3,False,True,1,False
ab7474e1548a,staging,domain_3,True,False,0,True
7ecae93f1fff,staging,domain_3,False,True,3,True
7d492640179e,staging,domain_3,False,False,0,True
dc6cd591a9f4,staging,domain_3,False,False,0,True
a6030c2b3f83,staging,domain_3,False,True,2,True
39560897c299,intermediate,domain_3,True,False,0,False
ef1342c17c0f,intermediate,domain_3,True,False,0,False
721f52362d2a,intermediate,domain_3,True,True,2,False
458dd679122a,mart,domain_3,False,True,6,True
155daa3009af,mart,domain_3,False,True,3,False
ecfc7284387a,exposure,domain_3,False,False,0,False
afa25b83fa76,exposure,domain_3,True,False,0,False
3edd671fe3cd,source,domain_4,False,False,0,False
96c16a7fc2c1,source,domain_4,False,False,0,False
b7165064f93d,source,domain_4,False,False,0,False
0877a706f35f,source,domain_4,False,False,0,False
8b34a9f649c7,source,domain_4,False,False,0,False
d8225b5b262f,staging,domain_4,False,False,0,False
c12b219dad7f,staging,domain_4,True,False,0,True
aae28c7991df,staging,domain_4,False,False,0,False
97a4b012166c,staging,domain_4,False,False,0,False
bf45bfff37fc,intermediate,domain_4,False,False,0,False
a5c70d9aff52,intermediate,domain_4,False,False,0,False
00c8e7127d6e,intermediate,domain_4,False,False,0,False
9fb0a29a3999,mart,domain_4,True,True,1,False
079f82d42e20,mart,domain_4,True,False,0,False
4487459bd9f0,exposure,domain_4,False,False,0,False
e5064c3db0cc,exposure,domain_4,False,False,0,False
6bb6c8366004,source,domain_5,True,True,2,True
9a7c4d997033,source,domain_5,False,True,1,True
71f2dc3619fb,source,domain_5,False,True,2,True
e63289599002,source,domain_5,True,True,3,True
e2d0e040693d,staging,domain_5,True,True,2,True
db1084eb83a3,staging,domain_5,True,False,0,False
4a48104369fb,staging,domain_5,False,True,5,True
77a385cd7e72,intermediate,domain_5,True,False,0,True
67c3afb1f709,intermediate,domain_5,True,False,0,False
316793279d22,mart,domain_5,True,False,0,False
c85b525062ea,mart,domain_5,False,True,4,True
14454dfbe8b9,exposure,domain_5,False,False,0,True
aceff73b2d73,exposure,domain_5,True,False,0,False
3df390f7178e,source,domain_6,False,False,0,False
e6de81a9f44f,source,domain_6,False,False,0,False
a6b04cdac6e3,source,domain_6,False,False,0,False
04ca7b8d2db2,staging,domain_6,False,False,0,True
bc88a0f1d0ca,staging,domain_6,False,False,0,False
74ad874d5f5a,intermediate,domain_6,False,False,0,False
e6512c841e78,intermediate,domain_6,False,False,0,False
0e5662daa79a,mart,domain_6,True,False,0,True
beed0ab7bdf6,mart,domain_6,False,False,0,False
d6179f03a114,mart,domain_6,True,True,1,False
63c496e754fc,exposure,domain_6,False,False,0,False
af2712922c63,exposure,domain_6,False,False,0,False
